년도,배출원,휘발유,실내등유,보일러등유,경유,경질중유,중유,방카C유,제트연료,프로판,부탄,윤활유,기타제품,부생연료유1호,부생연료유2호
2002,국내해운,0.125085797,10.41394266,0,827.9212112,244.8289386,101.1915579,1709.421433,0,1.790672366,0.029650046,0,0,0.707035753,5.019114042
2002,국제해운,0.310071836,3.123144058,0,3273.495658,170.2245402,4.384804667,25508.21169,0,0.894140169,0.924760908,0,0,0,0
2002,어업,336.4022826,5.471848829,0,3411.304657,213.3455536,18.03443935,117.6976156,0,2.139979255,1.574167254,0,0,0.072612043,0.018322368
2002,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,국내해운,0.421063459,2.19058663,0,849.2460081,255.8099364,103.6853753,1805.787974,0,1.670353344,0.032855457,0,0,0.11275124,1.7626173
2003,국제해운,2.22934603,1.422303964,0,3411.26179,124.8316218,1.683591701,27595.58081,0,0.660917412,0.025643283,0,0,0.011397237,0.022283405
2003,어업,315.1085908,1.022699801,0,3309.264654,203.6167794,19.62518832,124.6125906,0,1.960008233,0.583926795,0,0,0.077400479,0.12781071
2003,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,국내해운,0.000352354,2.104024988,0,836.3212519,241.6516711,86.97988706,1709.226694,0,1.469901375,0.03472528,0,0,0,0
2004,국제해운,0.36539147,1.553492942,0,3427.085474,218.8841772,8.431324004,28637.38646,0,0.60829279,0.025643283,0,0,0.032156491,0
2004,어업,301.1078728,0.503847268,0,3069.925277,199.9054551,17.73835627,117.2198567,0,1.760085479,0.226781894,0,0,0.474068608,0.290250619
2004,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,국내해운,0,0.784056121,0,733.3838703,257.2766711,99.63609065,1682.804149,0,1.314419537,0,0,0,0.0525087,0
2005,국제해운,0,0.637863125,0,2951.386356,249.9267735,6.913648813,29124.85039,0,0,0,0,0,0,0
2005,어업,302.2459907,0.308361555,0,2761.456426,182.4258613,16.82216668,92.07395386,0,1.951048512,0.262566574,0,0,0.810696427,0.680846026
2005,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,국내해운,0.8245092,0.212749281,0,797.8634823,349.3827884,108.9089801,1422.371827,0,0.793674981,0,0,0,0.068790468,0
2006,국제해운,0,0,0,2773.300449,281.8915053,0.75077221,29350.9923,0,0,0,0,0,0,0
2006,어업,281.4337256,0.180312848,0,2776.76842,140.8972667,19.00839139,131.3906425,0,0.75745213,0.131525246,0,0,1.260467809,0.17760865
2006,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,국내해운,0.18088782,0.150276301,0,799.617558,321.2936873,99.83816204,1363.699879,0,1.030454591,0,0,0,0.059835495,0
2007,국제해운,0,0,0,2613.042692,340.9670769,15.55960636,26521.43734,0.016753821,0,0,0,0,0,0
2007,어업,268.7153221,0.23919508,0,2709.838365,111.9840726,16.40285857,128.4062944,0,0.945956596,0,0,0,1.335168551,0.095750025
2007,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,국내해운,0.157923546,0.101737444,0,749.3791695,283.3568103,100.3252217,1479.069367,0,5.268480441,0,0,5.055488801,0.057800275,0
2008,국제해운,0,0,0,2350.027538,314.9939794,11.85405277,25403.79353,0,0,0,0,0,0,0
2008,어업,249.2004222,0.183761539,0,2058.243428,81.97103709,17.30842539,106.2570889,0,1.098477178,0,0,0,0.324294958,1.878154934
2008,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,국내해운,0,0.030676558,0,599.6388732,337.4202186,71.66443587,1415.957857,0,1.228863583,0,0,0,0,0
2009,국제해운,0,0.051645344,0,1966.821086,245.5306652,37.98430514,23149.29227,0,0,0,0,0,0,0
2009,어업,249.4348748,0.014676501,0,2327.223828,113.9819646,18.55343833,110.5617739,0,0.298994385,0.081888372,0,0,0.217607855,0.018982014
2009,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,국내해운,0,0.03184149,0,597.6686115,316.292291,72.53742457,1281.326711,0,1.047579905,0,0,0,0,0
2010,국제해운,0,0.015920745,0,2020.520978,351.3256714,45.16367349,24308.34381,0,0,0,0,0,0,0
2010,어업,227.8954632,0.442871006,0,2310.909113,111.9850405,17.87406628,91.07644022,0,0.344999412,0,0,0,0.29710274,0
2010,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,국내해운,0,0.606541556,0,565.9223601,357.0730068,63.69824393,1274.661948,0,0.861647927,0,0,0,0,0
2011,국제해운,0,0.034559666,0,1707.153325,380.3400367,45.2398616,24216.29205,0,0,0,0,0,0,0
2011,어업,223.9311339,0.344605725,0,2108.153523,74.52623945,17.07700538,72.29800486,0,0.31599081,0.001055341,0,0,0.216347054,0
2011,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,국내해운,0.004572421,0.02419823,0,556.3027912,295.7174852,52.62012685,1229.722979,0,1.814549312,0,0,0,9.23382741,0
2012,국제해운,0,0.024588525,0,1520.408155,371.567328,31.45276224,23535.17444,0,0,0,0,0,0,0
2012,어업,213.0388343,0.033688104,0,2093.481295,70.58652446,14.76035098,47.8941442,0,2.520678168,0,0,0,0.164985102,0
2012,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,국내해운,0.000703449,0.000390294,0,590.480581,242.4149976,71.32212349,499.6214767,0,4.726586585,0.149871871,0,0,0.07080976,0
2013,국제해운,0,0.105769685,0,1661.813313,240.9351752,40.08629555,22918.18357,0,0,0,0,0,0,0
2013,어업,218.6659089,0,0,2260.361691,74.28273892,17.03911431,37.50325865,0,0.735968081,0,0,0,0.146253019,0
2013,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,국내해운,2.623162629,0.088206453,0,433.634009,173.2452619,82.25335263,310.9586817,0,1.248190722,0,0,0,0.143184376,5.442775521
2014,국제해운,0,2.271511312,0,1941.259747,234.3339517,27.53393445,23170.22406,0,0,0,0,0,0,0
2014,어업,211.3973894,0,0,2086.762451,48.8847948,16.4301386,33.8617202,0,5.496066341,0,0,0,0.292915454,0
2014,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,국내해운,1.285201964,0.049177049,0,699.3933971,248.9235436,89.96853072,584.4487242,0,4.885607356,0,0,0,0.010171568,10.77665862
2015,국제해운,0,3.288227286,0,2972.153686,227.9271354,21.86200632,24849.83931,0,0.012966309,0,0,0,0,0
2015,어업,222.5661511,0,0,2392.814001,40.39655114,16.31419083,38.28327233,0,6.625207855,0,0,0,0.144393209,0
2015,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,국내해운,20.71869373,0.080010278,0,611.5053527,284.0970213,87.48553685,397.6427258,0,5.339917464,0,0,0,0,0
2016,국제해운,0,2.422555105,0,2798.432408,193.2179073,21.82811034,28594.65131,0,0.014189546,0,0,0,0,0
2016,어업,217.4608485,0,0,2589.078589,20.09549688,15.76931604,38.72600133,0,7.531587188,0,0,0,0.083450468,0
2016,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
